ID Transaksi;Tanggal;Waktu;ID Kartu;Pengambilan;Sisa Kuota
00001;14-02-21;15:10;342342;400;4300
00002;14-02-21;15:12;687678;300;2300
00003;14-02-21;15:14;898088;300;4300
00004;14-02-21;15:16;565645;400;2000
00005;14-02-21;15:24;365654;200;2300
00006;14-02-21;16:10;456456;600;340
00007;14-02-21;16:30;234234;300;3220
00008;14-02-21;16:45;875667;400;430
00009;14-02-21;17:01;767567;500;520
00010;14-02-21;17:15;645643;600;500
00011;14-02-21;17:16;563566;200;600
00012;14-02-21;17:18;565433;150;4000
00013;14-02-21;17:20;234255;655;2000
